Player,Pos,G,GS,MP,TRB,AST,STL,BLK,TOV,PTS,Salary
Cedi Osman,SF,61,12,11,2,0.7,0.4,0,0.5,3.9,2642857
Zaza Pachulia,C,69,57,14.1,4.7,1.6,0.6,0.2,1,5.4,3477600
Marcus Paige,PG,5,0,5.6,0.8,0.6,0,0,0,2.4,77250
Georgios Papagiannis,C,17,0,7.2,2.2,0.5,0.2,0.4,0.5,2.1,2486757
Jabari Parker,PF,31,3,24,4.9,1.9,0.8,0.3,1.5,12.6,6782392
Tony Parker,PG,55,21,19.5,1.7,3.5,0.5,0,1.2,7.7,15453126
Chandler Parsons,SF,36,8,19.2,2.5,1.9,0.5,0.3,1,7.9,23112004
Patrick Patterson,PF,82,3,15.5,2.4,0.7,0.6,0.3,0.4,3.9,5192000
Justin Patton,C,1,0,4,0,0,1,0,0,2,2247480
Brandon Paul,SG,64,2,9,1.1,0.6,0.4,0.1,0.5,2.3,815615
Chris Paul,PG,58,58,31.8,5.4,7.9,1.7,0.2,2.2,18.6,24268959
Adreian Payne,PF,5,0,8.6,1.8,0,0.4,0,0.4,4.2,77250
Cameron Payne,PG,25,14,23.3,2.8,4.5,1,0.4,1.4,8.8,2203440
Elfrid Payton,PG,63,63,28.7,4.3,6.2,1.3,0.3,2.7,12.7,3332340
Gary Payton II,PG,23,6,9.6,1.9,0.9,0.3,0.1,0.3,3,154500
Kendrick Perkins,C,1,0,15,1,2,1,0,1,3,131562
London Perrantes,PG,14,0,4.7,0.3,0.4,0.1,0.1,0.1,0.5,77250
Alec Peters,PF,20,0,11.3,1.9,0.6,0.1,0.1,0.2,4.1,77250
Marshall Plumlee,C,8,0,6.5,2.1,0.3,0,0.1,0.4,1.8,77250
Mason Plumlee,C,74,26,19.4,5.4,1.9,0.7,1.1,1.4,7.1,14041096
Miles Plumlee,C,55,35,16.7,4.1,0.8,0.3,0.5,1.1,4.3,12400000
Jakob Poeltl,C,82,0,18.6,4.8,0.7,0.5,1.2,1,6.9,2825640
Quincy Pondexter,SF,23,1,8.5,1.2,0.4,0.3,0.1,0.5,2,3853931
Otto Porter,SF,77,77,31.6,6.4,2,1.5,0.5,1,14.7,24773250
Bobby Portis,PF,73,4,22.5,6.8,1.7,0.7,0.3,1.4,13.2,1516320
Dwight Powell,C,79,25,21.2,5.6,1.2,0.8,0.4,0.7,8.5,9003125
Norman Powell,SG,70,18,15.2,1.7,1.3,0.5,0.2,0.9,5.5,1471382
Alex Poythress,PF,25,0,4.2,0.7,0.1,0.1,0,0.1,1,778668
Taurean Prince,SF,82,82,30,4.7,2.6,1,0.5,2.3,14.1,2422560
Jacob Pullen,PG,3,0,2,0,0,0,0,0.3,0.7,77250
Rodney Purvis,SG,16,2,18.1,1.7,1.1,0.2,0.2,0.6,6,165887
Zhou Qi,C,18,0,6.9,1.2,0.1,0.1,0.8,0.6,1.2,815615
Tim Quarterman,SG,3,0,4.3,1,0.3,0,0,0.7,1.3,96406
Ivan Rabb,PF,36,5,14.3,4.4,0.9,0.3,0.4,1,5.6,950000
Julius Randle,C,82,49,26.7,8,2.6,0.5,0.5,2.6,16.1,4149242
Zach Randolph,PF,59,57,25.6,6.7,2.2,0.7,0.2,2,14.5,12307692
Davon Reed,SG,21,1,11.5,1.9,0.6,0.5,0.1,0.5,3,815615
Willie Reed,C,42,5,10.2,2.9,0.2,0.2,0.5,0.5,4.6,1471382
Josh Richardson,SF,81,81,33.2,3.5,2.9,1.5,0.9,1.7,12.9,1471382
Malachi Richardson,SG,26,4,12.5,1.3,0.5,0.4,0,0.4,3.4,1504560
Austin Rivers,SG,61,59,33.7,2.4,4,1.2,0.3,1.8,15.1,11825000
Andre Roberson,SG,39,39,26.6,4.7,1.2,1.2,0.9,0.8,5,9259260
Devin Robinson,SF,1,0,13,5,0,1,0,0,2,77250
