Player,Pos,G,GS,MP,TRB,AST,STL,BLK,TOV,PTS,Salary
Rudy Gay,PF,63,1,21.6,4.8,1.4,0.7,0.6,1,11.4,"14,000,000"
Rudy Gobert,C,71,71,30.8,13.5,1.3,0.6,2.7,1.7,14.3,"26,525,281"
Rui Hachimura,PF,57,57,31.5,5.5,1.4,0.8,0.1,1.2,13.8,"4,692,840"
Russell Westbrook,PG,65,65,36.4,11.5,11.7,1.4,0.4,4.8,22.2,"41,358,814"
Ryan Arcidiacono,PG,44,0,10.2,1.5,1.3,0.2,0,0.2,3.1,"3,000,000"
Saddiq Bey,SF,70,53,27.3,4.5,1.4,0.7,0.2,0.9,12.2,"2,689,920"
Sam Merrill,SG,30,2,7.8,1,0.7,0.3,0,0.3,3,"898,310"
Sekou Doumbouya,PF,56,11,15.5,2.6,0.8,0.4,0.2,0.8,5.1,"3,449,400"
Semi Ojeleye,PF,56,15,17,2.6,0.7,0.3,0,0.4,4.6,"1,752,950"
Serge Ibaka,C,41,39,23.3,6.7,1.8,0.2,1.1,1.1,11.1,"9,258,000"
Seth Curry,SG,57,57,28.7,2.4,2.7,0.8,0.1,1.1,12.5,"7,813,953"
Shai Gilgeous-Alexander,SG,35,35,33.7,4.7,5.9,0.8,0.7,3,23.7,"4,141,320"
Shake Milton,SG,63,4,23.2,2.3,3.1,0.6,0.3,1.6,13,"1,701,593"
Shaquille Harrison,SG,34,0,9.8,1.4,0.7,0.5,0.1,0.3,2.1,"770,433"
Sindarius Thornwell,SG,21,1,10.3,0.9,1,0.6,0.1,0.3,2,"747,435"
Solomon Hill,PF,71,16,21.3,3,1.1,0.7,0.2,0.6,4.5,"2,174,318"
Spencer Dinwiddie,SG,3,3,21.3,4.3,3,0.7,0.3,1.7,6.7,"11,454,048"
Stanley Johnson,PF,61,13,16.5,2.5,1.5,0.9,0.3,0.9,4.4,"3,801,000"
Stephen Curry,PG,63,63,34.2,5.5,5.8,1.2,0.1,3.4,32,"43,006,362"
Sterling Brown,SG,51,14,24.1,4.4,1.4,0.7,0.2,0.8,8.2,"1,678,854"
Steven Adams,C,58,58,27.7,8.9,1.9,0.9,0.7,1.3,7.6,"27,528,090"
Sviatoslav Mykhailiuk,SF-SG,66,14,20.1,2.5,1.7,0.8,0.2,1.3,8.5,"1,663,861"
T.J. Leaf,PF,7,0,5,0.7,0.1,0.3,0.1,0.3,1.7,"4,326,825"
T.J. McConnell,PG,69,3,26,3.7,6.6,1.9,0.3,2,8.6,"3,500,000"
T.J. Warren,SF,4,4,29.3,3.5,1.3,0.5,0,1,15.5,"11,750,000"
Taj Gibson,PF,45,3,20.8,5.6,0.8,0.7,1.1,0.5,5.4,"3,283,684"
Talen Horton-Tucker,SG,65,4,20.1,2.6,2.8,1,0.3,1.6,9,"1,517,981"
Taurean Prince,PF,41,10,22.1,3.5,1.9,0.7,0.6,1.1,9.5,"13,942,308"
Terance Mann,SG,67,10,18.9,3.6,1.6,0.4,0.2,0.6,7,"1,517,984"
Terence Davis,SG,61,4,17.6,2.5,1.4,0.7,0.2,1,8.7,"1,517,981"
Terrance Ferguson,SG,13,0,3.8,0.1,0.2,0.1,0,0.3,0.2,"3,944,013"
Terrence Ross,SG,46,2,29.3,3.4,2.3,1,0.5,1.6,15.6,"13,500,000"
Terry Rozier,SG,69,69,34.5,4.4,4.2,1.3,0.4,1.9,20.4,"18,900,000"
Thaddeus Young,PF,68,23,24.3,6.2,4.3,1.1,0.6,2,12.1,"13,545,000"
Thanasis Antetokounmpo,SF,57,3,9.7,2.2,0.8,0.4,0.2,0.8,2.9,"1,701,593"
Théo Maledon,PG,65,49,27.4,3.2,3.5,0.9,0.2,2.2,10.1,"2,000,000"
Thomas Bryant,C,10,10,27.1,6.1,1.5,0.4,0.8,1.1,14.3,"8,333,333"
